time [min]	x1	x2
0	20.04468807	18.59523619
1	20.49927372	19.10233847
2	20.220403	19.14804925
3	20.1199635	19.04556689
4	20.25566243	18.88185005
5	20.19787487	18.63366564
6	19.89629985	19.14204084
7	19.48880853	18.79346719
8	19.55358521	19.06771213
9	19.24079361	18.90576541
10	20.4515413	19.34692177
11	20.1217783	19.85304611
12	20.07978748	19.55088989
13	19.58844116	19.2669352
14	20.46381455	19.70734007
15	20.13244859	20.27753503
16	19.94363137	20.3554179
17	20.13919292	20.89481777
18	20.42982406	20.66935183
19	20.6318797	20.48547914
20	19.66070253	20.16876842
21	19.19787923	20.53609084
22	19.8817903	20.97826219
23	20.27168689	20.68431303
24	19.7373325	20.32950554
25	19.56891	20.40555206
26	20.44806789	20.15690217
27	20.84672633	20.1235971
28	20.43318075	19.90209361
29	20.83562115	20.06241522
30	19.7137318	20.02744038
31	19.42065981	20.18158704
32	19.81963088	19.87292161
33	19.3354196	20.33468443
34	20.42146475	20.2886806
35	20.01650924	20.85908564
36	19.8810549	20.9403971
37	20.08792813	20.94332934
38	19.74032491	21.16266201
39	19.44017456	20.96536139
40	19.55884689	20.97163062
